module,r_surv,r_init,slack_P,slack_Q,maxcos,meancos,stable_rank,sr_over_r,lam_max,lam_min
h10.attn.c_pro,8,8,1.5576741083708596,1.5550883043835797,0.20464958830177407,0.13848090212712572,2.337741695583119,0.29221771194788987,0.06987743079662323,0.02501743659377098
h18.attn.c_att,13,13,1.55266311428212,2.1954777034631396,0.46500187597664466,0.12669160060479015,1.839747583864568,0.14151904491265907,0.08075850456953049,0.013118017464876175
h8.attn.c_att,13,13,1.5443071505321742,2.0323039336607325,0.348274659743882,0.08905787903076913,2.380194104516376,0.18309185419356738,0.06247302517294884,0.018166635185480118
h12.attn.c_pro,8,8,1.543268961170728,1.556445151022464,0.22007889449480145,0.1398707829223408,2.136554971390598,0.26706937142382475,0.0742030069231987,0.03241119533777237
h15.attn.c_att,16,16,1.5002397364732523,2.28946587984163,0.2582556918774227,0.05301302437457363,3.395124957985137,0.21219530987407106,0.08195573091506958,0.008396942168474197
h5.attn.c_pro,7,7,1.451737476280728,1.4442223340258808,0.30476892225280666,0.1878410678861298,1.726837811266311,0.24669111589518727,0.07069814950227737,0.03711066022515297
h19.attn.c_pro,7,7,1.4314251422953235,1.4522329607984585,0.2663481240787736,0.16567520154045529,1.8982781495722982,0.2711825927960426,0.05892344191670418,0.03388018161058426
h9.attn.c_att,14,14,1.4032392635407358,2.1353051434108883,0.20186574574652413,0.05234107619561129,2.705813358018226,0.19327238271558758,0.08112268149852753,0.013049198314547539
h14.attn.c_att,13,13,1.3816302502378015,2.0407096047105853,0.2786821914329125,0.08054559557636233,3.0778004446586453,0.23675388035835734,0.04495861381292343,0.015429978258907795
h13.attn.c_pro,6,6,1.3234617542913747,1.2928747945592394,0.31298755412423723,0.15613085905960278,1.7085649747917502,0.2847608291319584,0.06891173124313354,0.03295014798641205
h11.attn.c_pro,5,5,1.2218161985018106,1.1726918644318636,0.21746356452985724,0.180469903914592,1.874690312675969,0.3749380625351938,0.05567791312932968,0.03825407475233078
h18.attn.c_pro,5,5,1.18410075744461,1.1851728548397393,0.30991394008725176,0.1897267064892576,1.5155990521771623,0.30311981043543246,0.07794825732707977,0.03613067418336868
h15.attn.c_pro,5,5,1.1794377383249124,1.2274487947995227,0.23220796467880228,0.17814332363644708,1.9755332845499511,0.39510665690999025,0.05953149497509003,0.02504728175699711
h16.attn.c_att,10,10,1.1669118580114475,1.77810029150497,0.225606545780392,0.07283182398570938,3.0344662912420235,0.30344662912420234,0.056158412247896194,0.020291132852435112
h16.attn.c_pro,4,4,1.054887492930152,1.0516846803612485,0.23991507290809555,0.21709981438319004,1.7166609972807148,0.4291652493201787,0.06040770187973976,0.04715139418840408
h13.attn.c_att,9,9,1.0393339851863472,1.7038905700854368,0.15371878305147357,0.0494506227034678,3.2604811083130496,0.36227567870144994,0.061072781682014465,0.021193990483880043
h12.attn.c_att,9,9,0.9550135103542473,1.74279832608775,0.11479173435709954,0.039409948658282214,4.996300580216182,0.5551445089129091,0.05361628904938698,0.02857317216694355
h10.attn.c_att,6,6,0.8378948775628653,1.4060228278321505,0.1438550123328608,0.07563302730419844,2.791228131480965,0.46520468858016084,0.05315161868929863,0.029514366760849953
h5.attn.c_att,5,5,0.744503893142783,1.2367582379692776,0.12554399355997925,0.058951642503154066,3.245900273270733,0.6491800546541466,0.05014154314994812,0.031086288392543793
h4.attn.c_att,4,4,0.6112923911175856,1.0949433240459323,0.1264619927940656,0.07874424890279147,2.0048063140702546,0.5012015785175636,0.08146572858095169,0.040357425808906555
